@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" boring bother couldnt horrible minutes none nothing plot waste why ", N
" bad boring fails remotely ", N
" none nothing pointless why worse ", N
" awful bad fails love plot script ", N
" horrible plot ridiculous supposed ", N
" atrocious minutes poorly ", N
" annoying minutes script waste why worst ", N
" bad different plot ", N
" bad plot ", N
" plot terrible ", N
" bad excellent lame ", N
" sorry wasted ", N
" avoid awful couldnt crap love plot wonderful ", N
" awful crap favorite love nothing poor worst ", N
" great plot terrible waste worst ", N
" terrible waste worst ", N
" bad lame nothing plot waste ", N
" bad none poor why ", N
" nothing skip ", N
" well why ", N
" bad crap great plot poor rubbish waste ", N
" bad bother decent dreadful nothing plot predictable waste ", N
" amazing different poor well ", N
" bad cheap love minutes plot well ", N
" bother cheap fails minutes nothing pointless ridiculous script stupid why ", N
" mildly plot ridiculous ", N
" fails nothing strong supposed why ", N
" plot script ", N
" bad boring horrible plot stupid worst ", N
" couldnt nothing why ", N
" awful stupid wasted ", N
" nothing ", N
" bad decent great plot strong terrible ", N
" annoying boring great painful pathetic plot pointless turkey well ", N
" annoying boring terrible well worst ", N
" great poor stupid waste ", N
" bad different plot script stupid ", N
" bad horrible plot poor stupid wasted ", N
" awful bad love plot ", N
" different forgettable great nothing predictable wonderful ", N
" couldnt love why ", N
" decent disaster ", N
" awful bad pathetic plot poor worst ", N
" boring great ", N
" terrible ", N
" bad cheap nothing predictable script well ", N
" horrible well why ", N
" crap lame nothing plot strong worse ", N
" bad love minutes poor waste well why ", N
" bad well worse ", N
" boring fails supposed terrible turkey why ", N
" cheap couldnt fails great minutes nothing plot poor well why ", N
" avoid boring great minutes plot predictable sorry waste why worst ", N
" awful couldnt fails great plot well ", N
" annoying bad nothing poorly stupid trash why ", N
" great minutes ", N
" boring ", N
" bad cheap couldnt pathetic plot poorly worst ", N
" great minutes nothing predictable ", N
" crap waste ", N
" bad none wonderful ", N
" fails ", N
" bad boring nothing plot worse ", N
" love loved outstanding well ", N
" lame script well ", N
" avoid bad stupid worst ", N
" bad forgettable ", N
" supposed well ", N
" bad minutes well wooden ", N
" disaster nothing poor ", N
" bad crap script ", N
" bad why worse ", N
" why ", N
" atrocious avoid bad dreadful minutes script ", N
" avoid bad script terrible ", N
" great script ", N
" plot terrible worst ", N
" atrocious bad boring dreadful minutes none nothing pathetic plot script sorry supposed terrible well worse worst ", N
" beautiful disaster favorite worst ", N
" great minutes waste well ", N
" bad crap stupid wasted well why ", N
" bad beautiful nothing script supposed touched well wooden ", N
" pathetic waste worst ", N
" well ", N
" great poor poorly redeeming waste ", N
" bother different loved nothing turkey why ", N
" script ", N
" boring couldnt different love nothing strong well why ", N
" amateurish avoid awful bad crap minutes why ", N
" decent plot poor sorry waste ", N
" boring minutes stupid ", N
" decent favorite waste well worst ", N
" well ", N
" bad decent great script worse ", N
" bad great horrible nothing plot terrible ", N
" couldnt well why wooden ", N
" bad bother lame plot waste well why ", N
" beautiful lame script ", N
"  ", N
" bad cheap horrible nothing well why ", N
" avoid awful bad decent minutes plot poorly well wooden worst ", N
" bad excellent great plot ", N
" awful bad plot poorly well worst ", N
" awful bad minutes ", N
" bad poor ", N
" amateurish bad decent horrible nothing plot stupid worse worst ", N
" bad cheap decent minutes poor rubbish well worse ", N
" bad boring great none script terrible why worst ", N
" bad plot wasted well ", N
" great well ", N
" annoying love ", N
" horrible trash waste ", N
" lame ", N
" boring minutes ", N
" sorry ", N
" avoid ", N
" pathetic supposed well ", N
" annoying bad beautiful minutes painful poor ", N
" nothing rubbish ", N
" nothing ", N
" minutes well ", N
"  ", N
" awful lame laughable minutes poor poorly turkey why worse ", N
" poor rubbish terrible well why ", N
" love nothing ", N
" beautiful beautifully boring couldnt ", N
" worst ", N
" stupid ", N
" annoying crap minutes plot rubbish well ", N
" bad nothing poor waste ", N
" annoying decent great poor poorly predictable skip well why ", N
" annoying different plot ", N
" different great nothing waste worse ", N
" bad great supposed well ", N
" boring why worst ", N
" great plot ridiculous ", N
" bad crap nothing ", N
" bad ", N
" poorly ", N
" avoid couldnt worst ", N
" minutes ", N
" beautiful boring skip why worst ", N
" excellent mildly predictable script well ", N
" bad beautifully love minutes pathetic plot stupid terrible today unfunny why worst ", N
" bad boring cheap crap stupid terrible ", N
" decent worst ", N
" bad crap decent lame minutes poor predictable redeeming ridiculous rubbish script supposed terrible well ", N
" bad script terrible waste worse ", N
" bad remotely ", N
" minutes nothing poor worse ", N
" bad laughable love plot poor script supposed well ", N
" bad fails great love pointless poor poorly well ", N
" beautiful excellent superb wonderful ", N
" plot stupid well ", N
" nothing plot poor script supposed well ", N
" bad minutes ", N
" avoid mstk why ", N
" why ", N
" bad couldnt mstk ", N
" well ", N
" plot ", N
" bother minutes plot predictable ", N
" cheap couldnt minutes script wasted ", N
" crap minutes pathetic stupid unfunny ", N
"  ", N
" forgettable plot poorly ", N
" boring predictable ", N
" nothing predictable script sorry ", N
" boring different enjoyed love minutes nothing plot stupid supposed unfunny ", N
" bad love none nothing plot well ", N
" bad fails minutes why ", N
" bother great painful sorry ", N
" laughable poor sorry ", N
" different plot well ", N
" plot ", N
" minutes plot ", N
" boring plot poor worst ", N
"  ", N
" nothing poor well ", N
" bad crap fails love well ", N
" avoid love poor wasted ", N
" bad ", N
" awful boring plot worst ", N
" love minutes nothing pointless poor skip waste why ", N
" crap love ", N
" bad boring forgettable love nothing plot pointless remotely supposed touched trash well why ", N
" love nothing well why worse worst ", N
" couldnt dreadful plot pointless predictable script stupid ", N
" amazing bad great laughable plot poor poorly ridiculous waste wasted well ", N
" excellent poorly script ", N
" plot ", N
" boring couldnt different fails love perfectly plot well why ", N
" annoying avoid bad minutes terrible well ", N
" bad laughable rubbish ", N
" boring great plot poorly sorry ", N
" script trash ", N
" bad horrible nothing outstanding perfectly plot redeeming sorry stupid well worse worst ", N
" different perfectly poor script waste why ", N
" decent nothing plot rubbish skip well why ", N
" awful boring great horrible minutes pathetic plot ridiculous sorry stupid waste ", N
" bad couldnt love nothing poor well ", N
" beautiful boring minutes why ", N
" well ", N
" avoid awful nothing terrible ", N
" awful plot poor script worst ", N
" bad boring minutes nothing plot predictable stupid turkey waste well ", N
" horrible love waste ", N
" poorly ", N
" bad different minutes plot terrible well worse worst ", N
" different great supposed ", N
" annoying bad cheap couldnt pathetic plot stupid supposed ", N
" awful bad poor waste wasted why ", N
" bad different nothing plot ", N
" annoying script sorry worse ", N
" awful bad ", N
" stupid worst ", N
" annoying avoid minutes ", N
" bad couldnt crap minutes ", N
" waste worst ", N
" bad enjoyed fails great well why worst ", N
" enjoyed love well why ", N
" annoying awful minutes nothing plot rubbish stupid terrible well why ", N
" awful poorly redeeming wonderful ", N
" annoying bad cheap couldnt pathetic plot stupid supposed ", N
" bad horrible plot why ", N
" bad cheap worst ", N
" awful love plot wasted worst ", N
" bad fails forgettable remotely well ", N
" bad poor supposed terrible well ", N
" bad great minutes plot poorly script wasted worse ", N
" decent different minutes nothing ", N
" nothing predictable why ", N
" worst ", N
" bad lame minutes plot stupid terrible well ", N
" bad decent minutes nothing poorly ", N
" awful couldnt crap worst ", N
" disaster horrible waste ", N
" awful bad love waste worst ", N
" bad boring cheap crap enjoyed predictable redeeming stupid terrible why ", N
" enjoyed horrible laughable love ridiculous ", N
"  ", N
" bad brilliantly minutes none nothing plot pointless redeeming script sorry ", N
" avoid boring none waste well why ", N
" beautiful excellent script supposed well why ", N
" awful bad love ", N
" beautiful boring none terrible ", N
" decent script wooden ", N
" boring ", N
" crap nothing plot worst ", N
" bad beautiful boring nothing ", N
" avoid cheap lame laughable plot script terrible ", N
" bad boring outstanding sorry ", N
" annoying bad boring couldnt horrible nothing well why worse ", N
" annoying avoid boring bother great minutes redeeming why ", N
" awful couldnt enjoyed sorry ", N
" bad plot supposed ", N
" none ", N
" ridiculous ", N
" plot well ", N
" avoid bad none nothing stupid supposed terrible wasted ", N
" couldnt horrible ", N
" horrible script supposed ", N
" bad crap nothing plot worst ", N
" beautiful loved worse ", N
" bad couldnt horrible why ", N
" bad ", N
" bad lame love painful stupid ", N
" bother cheap crap decent different laughable minutes poor terrible why worst ", N
" bad couldnt great horrible love plot why ", N
" avoid bad couldnt decent minutes poor ", N
" awful bad decent fails plot ", N
" love ", N
" lame poorly waste ", N
" awful cheap minutes predictable trash ", N
" bad love plot ", N
" annoying enjoyed ridiculous ", N
" waste why ", N
" bad nothing ", N
" bad poor stupid why ", N
" decent well worse ", N
" cheap excellent horrible laughable poor why ", N
" boring supposed ", N
" bad stupid supposed waste why ", N
" different plot script ", N
" annoying bad love painful plot ", N
" worst ", N
" boring ", N
" enjoyed excellent minutes poor poorly script wasted well why ", N
" awful ", N
" why ", N
" great trash waste ", N
" bother great poor worst ", N
" awful bad crap horrible love ridiculous stupid trash wooden ", N
" horrible nothing worst ", N
" bad boring disaster plot pointless stupid terrible ", N
" horrible plot ridiculous waste worst ", N
" bad trash worse ", N
" mildly plot trash ", N
" bad loved plot ", N
" love nothing painful trash ", N
" couldnt wooden ", N
" annoying trash wasted ", N
" annoying couldnt worse ", N
" nothing plot ", N
" predictable ", N
" bad couldnt plot why ", N
" couldnt plot predictable well ", N
" awful stupid worst ", N
" horrible script terrible worst ", N
" bad excellent poor stupid why ", N
" beautiful excellent nothing plot poor predictable skip well ", N
" bad love ", N
" awful couldnt lame script turkey well ", N
" dreadful minutes waste ", N
" bad laughable nothing plot well ", N
" bad bother crap stupid well why ", N
" fails well worst ", N
" cheap decent nothing plot script strong ", N
" annoying bad lame laughable mstk nothing plot poor redeeming script stupid why worst ", N
"  ", N
" bad why worst ", N
" minutes nothing why ", N
" worse ", N
" awful bad lame love trash worst ", N
" script waste why ", N
" stupid supposed worse ", N
" beautiful love today ", N
" decent excellent minutes poor script supposed worst ", N
"  ", N
" avoid finest plot ", N
" bad decent plot stupid terrible ", N
" annoying awful embarrassed none plot ", N
" poor supposed ", N
" fails minutes plot terrible ", N
" awful nothing plot ", N
" crap plot worst ", N
